Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,同意声明点击同意✔的同时，您并没有放弃您的合法权益，研究者和瑞尔森大学仍受法律责任和专业义务的管制。 本人已阅读并理解以上信息。本人知道可以在任何时间，不需经任何同意的情况下退出此研究，关闭浏览器即可。,,我认为产品商标上的环保标志是很重要的。,我比较相信产品商标上的环保信息。,我理解环保认证的概念。,我相信个人可以做许多事情来改善环境。,我相信企业、公司可以做很多事情来改善环境。,我认为有必要对时尚产品进行环保认证。,我相信环保认证对买家是有帮助的。,如果可以的话，我会寻求有环保认证的衣服。,只要有可能，我就会购买我认为环保的产品。,我愿意为环保产品付更高的价钱。,我愿意为有环保认证的衣服支付额外费用。,我做好了为环保产品支付更高价格的准备。,我愿意用减少消费支出的方式来保护环境。,保护自然环境提高了我的生活质量。,当我在两件相同的衣服中做选择时，我会买对他人和环境更无害的那一件。,我会避免购买对环境有潜在伤害性的衣服。,支持环境保护这件事使我更加致力于环境保护。,比起其他任何类型的衣服，我更愿意把钱花在生态友好型的衣服上。,我认为生态友好型服装的价格通常高于平均值。,我更喜欢购买环保服装，即使它更贵一些。,我相信一个具有经认证环保标签的服装品牌，是一个被社会所接受的购买品牌。,我宁愿坚持一个众所周知的传统服装品牌，也不愿意尝试生态友好型品牌。,如果我喜欢一个品牌，我不会为了尝试新鲜物品，而轻易去改变对这个品牌的喜爱。,如果环保型服装不是品牌服饰，那对我来说都没什么差别。,我认为环保型服饰，例如有机棉，比传统服饰更具时尚感。,我相信环保服装的质量通常高于其他服装。,我相信国家会对环境产生积极的影响。,支持环境保护让我更具有社会责任感。,我对购买环保服装感到满意，因此我也会购买这种服装。,你认识以下这些流行的纺织品环保标签吗？,,,,,,,以下因素对你的服装购买决策有多重要？,,,,,,,,,,,,,通常我都是我朋友圈里最后一个知道最新设计师和时尚潮流的人。,和我的朋友们相比，我很少买新的流行款式。,通常我都是我朋友圈中最后一个购买新时尚款式的人。,我比其他人更先了解新的时尚款式。,如果我听说了新的时装款式或造型，并且知道可以通过当地的精品店或百货商店买到它们，我会很有兴趣去买。,我会考虑购买新的时尚款式，即使是我之前没有听说过的。,以下因素对你的服装购买决策有多重要？,,,,,,,,你每年花多少钱在服装上？,你的就业状况如何？,性別,你的每年收入水平属于以下哪一栏（以家庭为单位）,你的年龄是?,你的最高学历是什么？,你的婚姻状况如何？
11149129463,214327343,11/16/2019 12:51:11 AM,11/16/2019 01:15:26 AM,14.30.17.112,,,,,1,,3,3,2,2,2,2,3,3,3,3,3,3,3,2,2,3,2,3,2,3,2,4,3,4,2,3,2,2,3,,,3,,,,,1,2,2,3,2,3,3,5,2,3,2,3,2,2,3,3,4,4,4,3,3,3,2,2,2,4,2,3,1,2,1,1,2,6
11149129140,214327343,11/16/2019 12:49:43 AM,11/16/2019 12:51:10 AM,112.97.210.106,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11149129053,214327343,11/16/2019 12:50:32 AM,11/16/2019 01:35:41 AM,117.136.39.116,,,,,1,,1,1,1,1,1,2,2,2,2,2,3,3,3,1,2,2,2,2,2,2,2,4,3,4,3,3,2,2,2,,,,,,,7,2,1,2,2,2,2,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,2,2,2,2,1,2,4,1,2,1,1,2,6
11149128579,214327343,11/16/2019 12:49:37 AM,11/16/2019 12:58:17 AM,183.40.10.105,,,,,1,,1,2,1,1,1,1,2,3,2,2,3,3,3,1,2,3,2,3,2,4,2,3,3,3,3,3,1,2,3,,,,,,,7,2,2,3,2,3,1,1,3,3,3,3,3,1,1,3,3,3,2,3,4,4,4,2,4,4,2,3,3,1,2,1,1,2,6
11149128569,214327343,11/16/2019 12:49:46 AM,11/16/2019 12:59:33 AM,117.136.39.204,,,,,1,,2,3,2,3,3,3,2,3,2,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,,,,,,,7,2,2,2,2,3,2,3,3,2,4,3,3,2,3,3,3,3,3,3,4,3,4,2,2,2,2,2,2,1,2,8,1,2,6
11149128383,214327343,11/16/2019 12:49:14 AM,11/16/2019 12:55:25 AM,183.42.2.124,,,,,1,,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,7
11149128080,214327343,11/16/2019 12:49:33 AM,11/16/2019 12:58:19 AM,183.39.55.111,,,,,1,,2,2,3,2,1,1,1,2,2,2,2,2,2,2,1,2,1,3,2,2,3,3,3,4,3,3,3,2,2,1,,3,,,,,2,1,2,2,2,3,3,3,3,3,2,2,2,3,3,2,4,2,3,4,3,2,3,4,1,1,1,7,1,2,4,1,2,6
11149127909,214327343,11/16/2019 12:48:43 AM,11/16/2019 12:53:27 AM,183.42.1.106,,,,,1,,2,2,2,2,2,2,2,2,2,2,3,4,3,3,2,2,3,3,3,3,2,2,3,3,3,3,3,3,2,,2,,,,,,1,1,2,3,3,3,1,3,3,4,4,3,3,2,3,4,5,3,3,2,2,2,2,3,3,3,3,3,1,,1,1,2,6
11149127603,214327343,11/16/2019 12:47:32 AM,11/16/2019 01:17:00 AM,183.39.137.128,,,,,1,,1,3,2,1,3,1,2,2,2,3,3,3,3,2,5,1,1,1,1,3,3,3,3,4,3,4,2,2,2,,,,,,,7,2,3,3,2,3,3,3,4,1,4,4,2,1,2,2,2,3,4,4,3,3,3,3,3,3,3,3,5,1,2,1,1,2,7
11149127469,214327343,11/16/2019 12:48:32 AM,11/16/2019 12:53:05 AM,183.25.63.86,,,,,1,,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,,,,6,,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,,2,2,2,4,4,4,2,2,2,2,2,7,1,1,1,1,2,6
11149127417,214327343,11/16/2019 12:48:04 AM,11/16/2019 12:56:14 AM,183.39.64.198,,,,,1,,1,2,2,3,3,3,3,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,,,,,,,7,2,2,2,1,1,1,2,2,2,2,1,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,4,1,2,4,1,2,6
11149127403,214327343,11/16/2019 12:48:26 AM,11/16/2019 12:53:23 AM,119.124.3.126,,,,,1,,1,3,1,1,2,1,1,1,2,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,1,3,1,,,,,,,2,1,2,2,2,3,2,3,2,3,2,1,1,3,3,3,3,3,3,3,2,2,2,3,2,2,2,4,1,2,1,1,2,6
11149126849,214327343,11/16/2019 12:47:13 AM,11/16/2019 12:54:31 AM,14.28.46.87,,,,,1,,2,3,3,3,3,3,2,3,3,3,3,3,3,2,1,3,3,3,3,3,3,3,3,3,3,3,2,3,3,,,,,,,7,1,4,2,1,2,1,1,2,1,2,2,3,2,3,3,3,3,3,3,2,2,2,1,1,1,1,1,2,1,2,1,1,2,6
11149126697,214327343,11/16/2019 12:47:16 AM,11/16/2019 02:13:33 AM,223.104.1.19,,,,,1,,2,2,4,1,1,1,2,2,1,4,4,2,2,2,2,3,2,2,2,3,2,5,3,4,3,3,2,2,3,,,,,,,7,1,1,1,1,1,1,1,3,1,3,1,1,1,2,4,4,3,4,3,1,1,1,1,1,1,1,1,1,1,2,2,1,2,6
11149126648,214327343,11/16/2019 12:45:57 AM,11/16/2019 03:17:18 AM,223.104.1.127,,,,,1,,2,2,2,2,2,2,2,2,2,4,4,4,2,2,2,2,2,3,3,4,3,3,3,3,2,3,2,2,3,,,3,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,1,3,3,4,2,1,1,1,1,1,2,6
11149126473,214327343,11/16/2019 12:46:25 AM,11/16/2019 12:55:03 AM,113.81.127.254,,,,,1,,1,2,2,1,2,1,1,2,2,2,2,3,2,1,1,2,1,2,2,2,2,3,3,3,3,2,2,2,3,,,,,,,7,1,1,1,1,1,2,2,3,2,2,1,1,1,2,2,2,5,3,3,2,1,2,2,2,1,2,2,1,1,2,1,1,2,6
11149125918,214327343,11/16/2019 12:45:49 AM,11/16/2019 12:57:21 AM,183.37.170.88,,,,,1,,2,4,3,3,3,2,2,2,3,3,4,4,3,2,2,2,3,2,2,3,2,4,3,4,3,4,1,2,3,,,,,,,7,1,1,2,2,2,3,3,3,2,3,2,2,1,3,3,3,4,3,3,3,1,2,2,1,2,3,1,,1,1,1,1,1,6
11149125540,214327343,11/16/2019 12:45:57 AM,11/16/2019 12:54:24 AM,119.124.2.188,,,,,1,,2,2,3,2,2,3,2,3,2,4,4,4,2,3,2,3,3,3,3,4,3,3,4,4,3,3,2,3,4,,,,,,,,1,1,2,2,4,1,1,3,1,3,3,3,2,3,3,4,3,3,4,4,4,3,2,1,2,1,2,6,1,2,1,1,2,6
11149125498,214327343,11/16/2019 12:44:56 AM,11/16/2019 12:46:18 AM,119.124.3.181,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11149125402,214327343,11/16/2019 12:46:02 AM,11/16/2019 12:49:16 AM,106.224.201.10,,,,,1,,3,3,2,2,2,3,3,3,3,3,3,3,2,1,3,3,3,3,3,3,3,3,2,3,3,3,1,1,3,,,,,,,7,1,1,1,1,2,1,1,3,1,3,2,3,3,3,3,3,3,3,4,1,1,1,1,1,1,1,1,5,1,1,5,1,2,6
11149125168,214327343,11/16/2019 12:45:33 AM,11/16/2019 12:55:37 AM,183.39.4.137,,,,,1,,2,2,2,2,3,2,3,3,2,2,2,3,2,2,2,2,2,2,2,3,3,3,2,3,2,3,1,2,3,1,,,,,6,,1,1,2,1,2,2,2,3,2,3,3,3,1,3,2,3,3,3,3,3,2,2,1,1,2,2,2,3,1,1,4,1,2,7
11149125015,214327343,11/16/2019 12:45:03 AM,11/16/2019 12:55:05 AM,183.37.149.180,,,,,1,,1,2,2,2,1,1,1,1,1,3,3,3,2,2,1,2,1,2,2,3,2,5,3,3,3,3,1,1,2,,,,,,,7,1,1,1,1,2,2,2,3,2,2,2,2,1,2,2,3,3,3,5,2,1,1,1,1,1,2,2,5,1,2,2,1,2,6
11149124865,214327343,11/16/2019 12:44:51 AM,11/16/2019 12:54:13 AM,223.104.63.60,,,,,1,,1,3,2,2,1,2,1,3,2,3,3,4,2,2,3,2,2,3,3,4,2,3,3,2,4,4,1,4,3,,,,,,,7,2,1,3,2,2,1,1,4,3,4,2,4,3,3,4,4,3,4,3,4,3,3,2,2,2,1,2,7,1,2,1,1,2,6
11149124828,214327343,11/16/2019 12:44:49 AM,11/16/2019 12:52:46 AM,112.97.163.16,,,,,1,,2,2,3,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,3,3,3,3,4,3,3,2,2,2,,,,,,,7,2,2,3,2,3,2,1,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,1,4,1,2,6
11149123754,214327343,11/16/2019 12:43:24 AM,11/16/2019 12:48:23 AM,183.31.30.125,,,,,1,,2,2,3,3,3,2,3,2,3,3,2,3,2,2,2,3,3,3,4,3,3,2,3,3,3,3,3,3,3,,,,,,,7,1,1,1,1,1,1,1,1,1,3,1,2,1,2,2,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,3,1,2,6
11149122573,214327343,11/16/2019 12:40:41 AM,11/16/2019 01:09:01 AM,112.97.251.191,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,7,1,1,1,1,1,1,1,5,3,5,1,2,1,5,3,5,2,1,1,5,1,1,2,1,1,1,1,4,1,2,7,1,2,6
11149121361,214327343,11/16/2019 12:39:27 AM,11/16/2019 12:47:06 AM,183.39.129.180,,,,,1,,2,2,3,1,1,1,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,2,3,,,6,,1,2,2,2,2,2,2,3,3,2,2,2,2,3,3,3,3,3,3,2,2,2,2,1,1,2,2,2,2,1,4,1,2,6
11149120933,214327343,11/16/2019 12:39:57 AM,11/16/2019 12:48:36 AM,112.97.247.141,,,,,1,,3,2,3,2,1,2,3,3,2,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,2,3,2,2,3,,,,,,,7,3,2,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,2,3,1,2,7
11149120127,214327343,11/16/2019 12:38:22 AM,11/16/2019 12:46:30 AM,223.104.65.18,,,,,1,,2,2,2,3,1,1,2,2,2,3,3,3,2,2,2,2,1,2,2,2,2,3,3,4,2,2,1,2,2,,,,,,,7,1,1,1,1,2,3,2,3,3,3,3,2,2,2,3,2,4,2,2,2,2,2,2,2,2,2,2,4,1,1,2,1,2,6
11149119395,214327343,11/16/2019 12:37:29 AM,11/16/2019 12:44:26 AM,223.104.65.37,,,,,1,,3,2,2,3,2,1,2,2,2,2,3,4,2,2,3,3,3,2,3,3,3,4,3,4,3,2,2,2,2,,2,,,,,7,3,3,2,2,2,3,4,4,4,3,2,2,2,2,2,4,5,3,3,3,3,3,3,2,1,2,2,1,1,1,3,1,2,6
11149119323,214327343,11/16/2019 12:37:25 AM,11/16/2019 12:43:21 AM,223.104.63.57,,,,,1,,1,2,2,1,3,2,3,1,1,3,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,,,3,,,,,2,2,3,3,4,3,4,4,4,4,3,3,4,5,5,5,3,3,3,2,2,2,2,2,2,2,2,3,1,1,2,1,2,7
11149118108,214327343,11/16/2019 12:35:47 AM,11/16/2019 12:41:30 AM,106.224.201.10,,,,,1,,2,2,3,2,2,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,4,2,2,3,3,2,2,3,,,,,,,7,1,1,1,1,3,1,1,3,1,3,3,3,2,3,3,2,3,2,4,3,1,1,1,1,1,1,1,4,1,1,4,1,2,6
11149118041,214327343,11/16/2019 12:35:53 AM,11/16/2019 12:46:12 AM,119.124.3.194,,,,,1,,2,3,2,2,2,2,2,1,4,3,3,4,4,2,2,3,2,3,4,3,2,4,3,4,3,4,3,2,2,,,3,,,,,2,2,1,1,1,3,2,4,3,3,2,1,3,3,3,3,3,3,3,3,2,2,1,2,2,2,1,2,1,1,6,1,2,6
11149117274,214327343,11/16/2019 12:34:53 AM,11/16/2019 12:43:00 AM,112.97.180.236,,,,,1,,1,3,2,3,2,2,2,2,2,3,3,3,3,2,3,2,2,3,2,3,2,3,4,4,2,2,2,2,2,,,3,,,,,2,1,3,2,4,3,2,3,2,4,3,4,2,4,4,4,4,3,3,3,3,3,3,3,3,1,3,6,1,2,1,1,2,6
11149116625,214327343,11/16/2019 12:33:56 AM,11/16/2019 12:41:59 AM,183.39.41.221,,,,,1,,2,3,2,2,1,2,2,2,2,3,4,4,2,2,2,2,2,3,2,4,2,3,2,3,2,2,2,2,3,,2,,,,,,2,2,2,2,3,2,2,3,2,3,3,2,2,4,4,4,2,2,3,3,3,2,2,2,2,2,2,4,1,2,1,1,2,6
11149116401,214327343,11/16/2019 12:28:32 AM,11/16/2019 01:21:30 AM,14.30.26.96,,,,,1,,2,2,2,2,2,2,2,2,2,1,3,4,3,2,3,2,3,3,3,2,1,2,3,5,2,2,2,2,2,,,3,,5,,,2,2,2,2,3,2,2,3,3,3,3,2,2,4,4,4,3,,3,2,2,2,1,2,2,2,2,5,1,1,1,1,2,7
11149116119,214327343,11/16/2019 12:33:21 AM,11/16/2019 01:32:13 AM,117.136.40.59,,,,,1,,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,,,,,,,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,1,2,2,3,2,1,1,1,1,2,1,2,2,1,2,6
11149116069,214327343,11/16/2019 12:32:35 AM,11/16/2019 12:45:39 AM,223.104.63.49,,,,,1,,1,2,2,4,3,2,2,2,1,3,2,3,3,1,2,2,,2,3,3,2,3,2,3,3,3,1,2,3,,,,,,,7,1,1,2,2,2,3,3,3,2,3,2,2,1,3,3,3,3,1,3,3,3,3,2,2,2,3,2,2,1,1,1,1,2,6
11149113168,214327343,11/16/2019 12:29:39 AM,11/16/2019 12:38:13 AM,223.104.65.40,,,,,1,,2,3,2,2,3,2,1,1,2,3,3,3,3,1,1,2,2,2,2,3,1,3,2,3,3,3,1,2,3,,,,,,,7,3,1,2,2,1,3,1,3,3,4,1,1,1,2,2,2,3,3,3,2,1,2,1,1,1,2,1,3,1,1,1,1,2,6
11149111931,214327343,11/16/2019 12:27:08 AM,11/16/2019 12:41:38 AM,112.97.164.177,,,,,1,,1,2,1,1,1,1,1,1,1,3,3,3,1,1,1,,1,1,2,2,1,1,1,1,1,1,1,1,1,1,,,,,6,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,5,1,1,1,1,2,7
11149111065,214327343,11/16/2019 12:11:42 AM,11/16/2019 12:37:57 AM,117.136.33.197,,,,,1,,2,2,2,2,2,3,1,3,2,3,3,3,1,1,2,3,2,3,3,3,2,3,3,3,3,3,1,2,3,,,,,,6,,2,2,1,1,1,3,2,3,2,4,1,3,3,2,3,3,3,3,3,3,2,2,2,2,2,2,2,3,1,1,2,1,2,7
11149110194,214327343,11/16/2019 12:24:42 AM,11/16/2019 12:40:15 AM,119.124.3.80,,,,,1,,2,3,3,2,2,3,2,3,3,3,3,3,2,2,2,2,2,3,3,3,2,4,2,3,3,3,2,2,3,,,,,,,7,1,2,2,2,3,2,2,3,2,3,3,3,1,3,3,3,3,3,3,2,2,2,1,2,2,2,3,2,1,2,1,1,1,6
11149108867,214327343,11/16/2019 12:23:58 AM,11/16/2019 12:32:54 AM,36.152.48.104,,,,,1,,1,3,2,2,1,1,2,1,1,4,3,3,1,1,1,2,1,2,2,2,1,4,2,3,3,2,2,2,1,,,3,,,,7,1,1,2,1,2,2,1,3,1,3,3,,2,1,1,3,5,3,4,2,2,2,2,2,2,2,2,2,1,2,1,1,2,6
11149108635,214327343,11/16/2019 12:23:30 AM,11/16/2019 12:40:27 AM,223.104.65.44,,,,,1,,1,2,3,2,2,2,2,2,3,3,2,3,2,1,2,2,2,3,3,3,3,3,4,4,3,4,2,2,3,,,,,,,7,3,2,2,2,2,3,1,2,1,2,1,1,1,3,2,3,3,3,3,,2,2,1,1,2,1,1,2,1,2,1,1,1,6
11149108429,214327343,11/16/2019 12:22:34 AM,11/16/2019 12:35:38 AM,14.210.3.133,,,,,1,,2,3,2,2,2,3,2,3,3,4,3,4,4,2,2,2,2,3,2,3,4,4,4,3,3,3,3,2,3,,,,,,,7,3,1,2,2,2,2,2,3,2,3,2,2,2,3,2,2,2,3,3,2,2,3,2,2,3,3,2,4,1,2,1,,2,6
11149107659,214327343,11/16/2019 12:22:30 AM,11/16/2019 12:27:16 AM,112.97.178.207,,,,,1,,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,7,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,5,1,2,1,1,2,7
11149107267,214327343,11/16/2019 12:22:04 AM,11/16/2019 12:31:35 AM,183.25.129.18,,,,,1,,2,2,3,1,1,3,2,3,3,3,3,4,3,2,2,3,2,3,3,4,3,3,4,3,4,3,1,1,3,,,,,,,7,1,1,3,2,2,2,2,4,2,5,2,2,1,1,1,1,5,3,3,,,,,,,,,,,,,,,
11149104924,214327343,11/16/2019 12:19:29 AM,11/16/2019 12:31:46 AM,112.97.183.227,,,,,1,,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,,1,1,2,2,2,2,2,1,,,,,,,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,6
11149104707,214327343,11/16/2019 12:18:29 AM,11/16/2019 12:30:58 AM,183.42.37.24,,,,,1,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,,,3,,,,,1,1,1,1,1,2,2,3,2,3,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,4,1,1,1,1,2,6
11149103816,214327343,11/16/2019 12:17:37 AM,11/16/2019 12:27:11 AM,117.136.40.63,,,,,1,,1,3,2,2,2,2,2,3,2,4,3,3,2,1,1,1,1,3,4,3,3,3,3,3,3,3,3,3,3,1,,,,,,7,1,1,1,1,1,1,1,3,1,3,1,1,1,5,5,5,3,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,2,6
11149103127,214327343,11/16/2019 12:15:26 AM,11/16/2019 12:35:07 AM,14.30.4.142,,,,,1,,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,3,1,3,3,1,1,1,2,2,2,2,2,,,3,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,11,1,2,6
11149099208,214327343,11/16/2019 12:12:22 AM,11/16/2019 12:17:02 AM,223.104.63.61,,,,,1,,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,2,3,2,3,1,2,,,,,5,6,,3,1,2,1,1,2,2,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,,2,1,2,6
11149098099,214327343,11/16/2019 12:10:37 AM,11/16/2019 12:14:54 AM,14.28.17.200,,,,,1,,1,1,1,1,1,3,2,2,2,2,3,3,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11149096613,214327343,11/16/2019 12:09:11 AM,11/16/2019 12:19:59 AM,14.116.141.65,,,,,1,,1,3,1,3,1,2,1,1,1,2,1,3,1,1,1,1,1,1,3,3,2,3,1,3,2,2,1,1,1,,,3,,,,,1,1,2,1,2,3,2,3,3,3,1,2,1,3,3,4,5,2,3,3,3,3,3,3,1,3,2,2,1,1,5,1,2,6
11149095377,214327343,11/16/2019 12:07:21 AM,11/16/2019 12:16:21 AM,223.104.63.48,,,,,1,,1,1,1,1,1,3,1,1,1,3,3,2,1,1,2,1,1,1,3,2,2,4,3,2,3,3,2,2,2,,,,,,,7,1,1,1,1,1,1,1,4,3,4,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,2,1,1,2,6
11149095097,214327343,11/16/2019 12:07:22 AM,11/16/2019 12:08:55 AM,119.124.2.248,,,,,1,,2,2,1,3,1,1,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11149094336,214327343,11/16/2019 12:06:22 AM,11/16/2019 12:12:04 AM,183.40.41.227,,,,,1,,1,3,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,5,1,1,4,5,1,3,3,1,1,1,,,3,,,,,1,1,1,1,1,3,3,3,3,3,1,1,1,3,1,3,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6
11149093892,214327343,11/16/2019 12:05:06 AM,11/16/2019 12:12:28 AM,117.136.40.48,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,,,3,,,,,2,1,2,1,1,2,2,4,2,2,1,1,1,4,4,4,3,2,2,2,1,2,1,1,1,1,1,4,1,2,1,1,2,6
11149093458,214327343,11/16/2019 12:05:03 AM,11/16/2019 12:10:30 AM,183.37.170.192,,,,,1,,1,2,1,1,1,1,2,3,2,3,3,3,1,2,2,1,2,2,2,3,2,3,2,3,3,3,2,2,2,,,3,,,,,2,1,3,3,1,3,3,4,3,2,1,3,2,1,1,1,5,3,3,3,2,2,1,1,1,1,1,3,1,2,1,1,2,6
11149092922,214327343,11/16/2019 12:04:31 AM,11/16/2019 12:09:23 AM,119.124.2.95,,,,,1,,1,2,2,2,2,3,2,3,2,3,3,3,3,2,3,3,3,3,2,4,4,4,3,4,4,4,3,3,4,,,,,,,7,1,1,2,1,1,2,2,3,3,3,1,2,2,2,3,3,4,4,4,2,2,2,2,2,2,1,2,2,1,1,1,1,2,7
11149091420,214327343,11/15/2019 11:57:49 PM,11/16/2019 12:10:36 AM,14.28.40.161,,,,,1,,1,2,2,3,2,3,3,3,2,3,4,4,3,1,3,3,1,3,3,4,3,3,3,3,3,3,3,3,3,,,3,4,,,,3,2,1,1,3,3,2,4,2,4,2,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,2,6
11149091396,214327343,11/16/2019 12:02:08 AM,11/16/2019 12:05:42 AM,14.30.38.209,,,,,1,,2,2,2,2,2,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11149089655,214327343,11/15/2019 11:57:22 PM,11/16/2019 12:12:06 AM,183.40.27.88,,,,,1,,2,3,3,2,1,2,2,2,2,4,3,3,2,2,3,2,2,2,3,3,3,4,4,1,2,3,1,2,3,,,,,,,7,2,2,2,1,2,2,1,4,2,3,2,1,2,2,2,2,4,3,4,3,2,2,1,2,3,2,1,3,1,2,1,1,2,6
11149089585,214327343,11/16/2019 12:00:13 AM,11/16/2019 12:24:14 AM,14.28.52.249,,,,,1,,2,4,2,1,1,2,1,2,2,3,3,2,2,1,1,3,2,1,2,3,2,1,1,3,2,2,1,1,2,,,3,,,,,1,2,3,3,3,2,2,4,3,5,3,2,3,3,2,2,5,2,2,3,2,2,2,2,1,3,1,2,1,1,3,1,2,6
11149088568,214327343,11/15/2019 11:58:45 PM,11/16/2019 12:04:22 AM,183.40.47.239,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,,,6,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,2,1,1,2,7
11149087975,214327343,11/15/2019 11:55:40 PM,11/16/2019 12:11:50 AM,223.104.65.14,,,,,1,,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,3,3,3,2,3,3,3,3,3,2,2,3,,,,,,,7,1,1,1,1,2,1,1,3,2,3,2,2,1,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,6
11149087845,214327343,11/15/2019 11:56:55 PM,11/16/2019 12:12:22 AM,112.97.241.145,,,,,1,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,2,6
11149086897,214327343,11/15/2019 11:56:46 PM,11/16/2019 12:10:26 AM,223.104.63.57,,,,,1,,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,6,,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,2,1,1,2,6
